Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Mongolia,MNG,Index of forest extent,Index,98.888127704163,98.8803840835809,98.8726404629988,98.8648968424166,98.8571532218345
Mongolia,MNG,Share of forest area,Percent,9.10255545816196,9.10182513109581,9.09965848797644,9.09894465963877,9.09823321482806
Myanmar,MMR,Index of forest extent,Index,75.9439909966532,75.1885228293452,74.4330546620373,73.6775864947294,72.9221183274215
Myanmar,MMR,Share of forest area,Percent,44.6197487360196,44.1758847862724,43.7340309804342,43.2901466284646,42.846262276495
Nepal,NPL,Index of forest extent,Index,104.711796369073,104.711796369073,104.711796369073,104.711796369073,104.711796369073
Nepal,NPL,Share of forest area,Percent,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687
Oman,OMN,Index of forest extent,Index,86.6666666666667,83.3333333333333,83.3333333333333,81.11,80.37
Oman,OMN,Share of forest area,Percent,0.0084006462035541,0.0080775444264943,0.0080775444264943,0.0078620355411954,0.0077903069466882
Pakistan,PAK,Index of forest extent,Index,77.8582590371741,77.0131512992254,76.1680435612766,75.3229358233279,74.4778280853792
Pakistan,PAK,Share of forest area,Percent,4.94056143628061,4.88693441261934,4.83330738895807,4.7796803652968,4.72605334163553
Philippines,PHL,Index of forest extent,Index,92.6337362880454,93.0877434969876,93.5417507059298,93.995757914872,94.4497651238142
Philippines,PHL,Share of forest area,Percent,23.8750041922393,23.9920179763222,24.1090317604051,24.226045544488,24.3430593285709
Qatar,QAT,Share of forest area,Percent,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,SAU,Index of forest extent,Index,100.0,100.0,100.0,100.0,100.0
Saudi Arabia,SAU,Share of forest area,Percent,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779
Singapore,SGP,Index of forest extent,Index,104.36184012264,103.182610290746,102.003380458851,100.824150626957,99.644920795063
Singapore,SGP,Share of forest area,Percent,22.3109243697479,21.9972067039106,21.6852367688022,21.4345403899721,21.1838440111421
Sri Lanka,LKA,Index of forest extent,Index,91.6056204582745,91.4690337092639,91.3324469602533,91.1958602112427,91.059273462232
Sri Lanka,LKA,Share of forest area,Percent,34.2580499159447,34.2067102490331,34.1580989330747,34.1070158422244,34.0559327513741
Syrian Arab Republic,SYR,Index of forest extent,Index,135.930014580296,135.930014580296,135.930014580296,135.930014580296,135.930014580296
Syrian Arab Republic,SYR,Share of forest area,Percent,2.84310842454937,2.84310842454937,2.84310842454937,2.84310842454937,2.81931537110257
Tajikistan,TJK,Index of forest extent,Index,103.281096963761,103.525954946131,103.770812928501,104.015670910872,104.260528893242
Tajikistan,TJK,Share of forest area,Percent,3.0391238561856,3.0463289862382,3.0535341162908,3.0607392463434,3.06794437639599
Thailand,THA,Index of forest extent,Index,103.404118537567,103.217477862342,103.030837187118,102.844196511893,102.657555836669
Thailand,THA,Share of forest area,Percent,39.0397150071444,38.9692497406487,38.8987844741529,38.8283192076572,38.7578539411615
Timor-Leste,TLS,Index of forest extent,Index,96.2095178590024,96.0637300843486,95.9179423096949,95.7721545350411,95.6263667603874
Timor-Leste,TLS,Share of forest area,Percent,62.1318090114324,62.0376597175521,61.9435104236718,61.8493611297915,61.7552118359112
Türkiye,TUR,Index of forest extent,Index,110.333698051022,111.11933681613,111.904975581239,112.690614346348,113.476253111457
Türkiye,TUR,Share of forest area,Percent,28.4660940971636,28.6687888985616,28.8714836999597,29.0741785013578,29.2768733027559
