Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Georgia,GEO,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,1.0,1.0,1.0,1.0
India,IND,"Climate related disasters frequency, Number of Disasters: Drought",Number of,1.0,,,,
India,IND,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,2.0,,,1.0
India,IND,"Climate related disasters frequency, Number of Disasters: Flood",Number of,9.0,5.0,5.0,9.0,3.0
India,IND,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,2.0,2.0,1.0
India,IND,"Climate related disasters frequency, Number of Disasters: Storm",Number of,11.0,5.0,4.0,5.0,2.0
India,IND,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,23.0,12.0,11.0,16.0,7.0
India,IND,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,1.0,,,,
Indonesia,IDN,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Indonesia,IDN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,6.0,11.0,25.0,18.0,13.0
Indonesia,IDN,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,2.0,2.0,1.0,2.0,
Indonesia,IDN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,1.0,
Indonesia,IDN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,8.0,14.0,26.0,21.0,13.0
Indonesia,IDN,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,1.0,,,
"Iran, Islamic Rep. of",IRN,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,1.0,
"Iran, Islamic Rep. of",IRN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,3.0,6.0,1.0,3.0
"Iran, Islamic Rep. of",IRN,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,1.0,,
"Iran, Islamic Rep. of",IRN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,2.0,
"Iran, Islamic Rep. of",IRN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,3.0,7.0,4.0,3.0
"Iran, Islamic Rep. of",IRN,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
Iraq,IRQ,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,1.0,
Iraq,IRQ,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,1.0,1.0,2.0,
Iraq,IRQ,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,1.0
Iraq,IRQ,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,1.0,1.0,3.0,1.0
Israel,ISR,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Israel,ISR,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
Israel,ISR,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,,1.0,,
Israel,ISR,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
Israel,ISR,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,,2.0,,
Israel,ISR,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,1.0,,
Japan,JPN,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,2.0,,,1.0
Japan,JPN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,3.0,1.0,2.0,1.0
Japan,JPN,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,1.0,
Japan,JPN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,3.0,4.0,3.0,1.0,4.0
Japan,JPN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,5.0,9.0,4.0,4.0,6.0
Japan,JPN,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
Jordan,JOR,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Jordan,JOR,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
Jordan,JOR,"Climate related disasters frequency, Number of Disasters: Flood",Number of,2.0,,,,
Jordan,JOR,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
Jordan,JOR,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,2.0,,,,
"Kazakhstan, Rep. of",KAZ,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,1.0,
"Kazakhstan, Rep. of",KAZ,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
"Kazakhstan, Rep. of",KAZ,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,,1.0,,
"Kazakhstan, Rep. of",KAZ,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
"Kazakhstan, Rep. of",KAZ,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
"Kazakhstan, Rep. of",KAZ,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,,1.0,1.0,
"Kazakhstan, Rep. of",KAZ,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
"Korea, Dem. People's Rep. of",PRK,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,1.0,,,
"Korea, Dem. People's Rep. of",PRK,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,,,,
"Korea, Dem. People's Rep. of",PRK,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,,1.0,1.0,
"Korea, Dem. People's Rep. of",PRK,"Climate related disasters frequency, Number of Disasters: Storm",Number of,1.0,1.0,,,
"Korea, Dem. People's Rep. of",PRK,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,3.0,2.0,1.0,1.0,
"Korea, Rep. of",KOR,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
"Korea, Rep. of",KOR,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,,,,1.0
"Korea, Rep. of",KOR,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,2.0,,1.0
"Korea, Rep. of",KOR,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
"Korea, Rep. of",KOR,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,3.0,3.0,1.0,1.0
"Korea, Rep. of",KOR,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,4.0,5.0,1.0,4.0
"Korea, Rep. of",KOR,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,1.0,,,1.0
Kuwait,KWT,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,,,,
Kuwait,KWT,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,,,,
Kyrgyz Rep.,KGZ,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Kyrgyz Rep.,KGZ,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,1.0
Kyrgyz Rep.,KGZ,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
Kyrgyz Rep.,KGZ,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,1.0,
Kyrgyz Rep.,KGZ,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
Kyrgyz Rep.,KGZ,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,,,1.0,1.0
Lao People's Dem. Rep.,LAO,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,1.0,,,
Lao People's Dem. Rep.,LAO,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,1.0,,,1.0
Lao People's Dem. Rep.,LAO,"Climate related disasters frequency, Number of Disasters: Storm",Number of,2.0,,2.0,1.0,
Lao People's Dem. Rep.,LAO,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,3.0,2.0,2.0,1.0,1.0
Lebanon,LBN,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
Lebanon,LBN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
Lebanon,LBN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,1.0,1.0,,,
Lebanon,LBN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,1.0,1.0,,
Lebanon,LBN,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,1.0,,
Malaysia,MYS,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Malaysia,MYS,"Climate related disasters frequency, Number of Disasters: Flood",Number of,2.0,4.0,5.0,8.0,5.0
Malaysia,MYS,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,1.0
Malaysia,MYS,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
Malaysia,MYS,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,2.0,4.0,5.0,8.0,6.0
Malaysia,MYS,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
Maldives,MDV,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,1.0,,,
Maldives,MDV,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,1.0,
Maldives,MDV,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,1.0,,1.0,
Mongolia,MNG,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Mongolia,MNG,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,1.0,,,1.0
Mongolia,MNG,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,1.0,3.0,1.0,1.0
Mongolia,MNG,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
Mongolia,MNG,"Climate related disasters frequency, Number of Disasters: Storm",Number of,1.0,1.0,1.0,1.0,
Mongolia,MNG,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,3.0,3.0,4.0,2.0,2.0
Mongolia,MNG,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
Myanmar,MMR,"Climate related disasters frequency, Number of Disasters: Flood",Number of,3.0,2.0,1.0,1.0,
Myanmar,MMR,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,1.0,1.0,1.0,,
Myanmar,MMR,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
Myanmar,MMR,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,4.0,3.0,2.0,1.0,
Myanmar,MMR,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
Nepal,NPL,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Nepal,NPL,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,,,,
Nepal,NPL,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,1.0,1.0,4.0,2.0
Nepal,NPL,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,1.0
Nepal,NPL,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,1.0,,,1.0
Nepal,NPL,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,2.0,2.0,1.0,4.0,4.0
Nepal,NPL,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
Oman,OMN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,1.0,1.0,,
Oman,OMN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,2.0,,,2.0,
Oman,OMN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,2.0,1.0,1.0,2.0,
Pakistan,PAK,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,1.0,,,
Pakistan,PAK,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,,,,1.0
Pakistan,PAK,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,8.0,4.0,4.0,1.0
Pakistan,PAK,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,1.0,,
Pakistan,PAK,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,1.0,1.0,2.0,1.0
Pakistan,PAK,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,2.0,10.0,6.0,6.0,4.0
Pakistan,PAK,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,1.0
Philippines,PHL,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,1.0,,,
Philippines,PHL,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,1.0,,5.0,2.0
Philippines,PHL,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,1.0,,1.0
Philippines,PHL,"Climate related disasters frequency, Number of Disasters: Storm",Number of,7.0,7.0,6.0,8.0,6.0
Philippines,PHL,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,8.0,9.0,7.0,13.0,9.0
Philippines,PHL,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
