Country,Measure,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
World,Adriatic Sea,WLD,Change in mean sea level: Sea level,Millimeters,67.4945945945946,48.92857142857143,49.05567567567567,43.623243243243245,40.3358904109589
World,Andaman Sea,WLD,Change in mean sea level: Sea level,Millimeters,59.54837837837838,9.71864864864865,86.42055555555555,128.1164864864865,120.40567567567568
World,Arabian Sea,WLD,Change in mean sea level: Sea level,Millimeters,46.89081081081081,81.55837837837838,94.70486486486486,92.79,74.70756756756757
World,Atlantic Ocean,WLD,Change in mean sea level: Sea level,Millimeters,60.15486486486486,68.72783783783784,67.12594594594594,73.13608108108107,73.0604054054054
World,Baltic Sea,WLD,Change in mean sea level: Sea level,Millimeters,34.972972972972975,80.6891891891892,176.45486486486487,71.86905405405406,126.68232876712328
World,Bay Bengal,WLD,Change in mean sea level: Sea level,Millimeters,48.37486486486486,46.02081081081081,87.05675675675676,128.06554054054055,105.69506849315069
World,Bering Sea,WLD,Change in mean sea level: Sea level,Millimeters,57.70918918918918,48.99567567567567,52.17108108108108,37.19337837837838,55.90824324324324
World,Caribbean Sea,WLD,Change in mean sea level: Sea level,Millimeters,57.31648648648649,84.36783783783784,80.73405405405406,70.99418918918919,93.4690410958904
World,Gulf Mexico,WLD,Change in mean sea level: Sea level,Millimeters,79.35945945945946,108.87837837837837,110.22918918918919,99.43729729729729,128.6254794520548
World,Indian Ocean,WLD,Change in mean sea level: Sea level,Millimeters,52.160000000000004,62.37891891891892,65.4127027027027,63.4295945945946,73.04581081081082
World,Indonesian,WLD,Change in mean sea level: Sea level,Millimeters,65.54702702702703,15.32,80.47189189189189,140.94756756756757,166.3095890410959
World,Mediterranean,WLD,Change in mean sea level: Sea level,Millimeters,64.32513513513514,50.56837837837838,64.76216216216216,59.696621621621624,59.51041095890411
World,Nino,WLD,Change in mean sea level: Sea level,Millimeters,70.62594594594594,65.27459459459459,67.58135135135136,73.02662162162163,78.72256756756757
World,North Atlantic,WLD,Change in mean sea level: Sea level,Millimeters,65.91216216216216,70.70135135135135,73.2808108108108,76.83351351351352,84.38808219178082
World,North Pacific,WLD,Change in mean sea level: Sea level,Millimeters,68.48486486486486,73.18216216216216,85.0827027027027,94.49486486486487,90.50297297297297
World,North Sea,WLD,Change in mean sea level: Sea level,Millimeters,49.9927027027027,68.38459459459459,88.72567567567567,72.28783783783784,109.74808219178082
World,Pacific Ocean,WLD,Change in mean sea level: Sea level,Millimeters,58.54594594594594,63.61621621621622,64.00837837837838,68.66716216216216,68.40364864864864
World,Persian Gulf,WLD,Change in mean sea level: Sea level,Millimeters,51.74891891891892,102.3327027027027,126.04694444444443,132.6241891891892,97.15797297297297
World,Sea Japan,WLD,Change in mean sea level: Sea level,Millimeters,44.48081081081081,70.31054054054053,81.96594594594595,94.8977027027027,93.13506849315068
World,Sea Okhotsk,WLD,Change in mean sea level: Sea level,Millimeters,50.30162162162162,50.53945945945946,54.84837837837838,53.95175675675675,63.98835616438355
World,South China,WLD,Change in mean sea level: Sea level,Millimeters,50.94567567567567,57.39702702702703,79.27405405405405,91.48013513513513,121.40716216216215
World,Southern Ocean,WLD,Change in mean sea level: Sea level,Millimeters,56.553513513513515,62.40756756756757,62.722432432432434,67.67851351351351,72.06635135135134
World,Tropics,WLD,Change in mean sea level: Sea level,Millimeters,57.66783783783784,65.21648648648649,67.5891891891892,72.30472972972973,74.03986486486487
World,World,WLD,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
World,Yellow Sea,WLD,Change in mean sea level: Sea level,Millimeters,49.32054054054054,69.10162162162163,79.79648648648649,81.75391891891891,80.91794520547946
